Page,Title,Description,Link,Contributor,Date
3,"Cat Island, July 1935","Photo, Print, Drawing",https://www.loc.gov/item/2007660209/,"Lomax, Alan",: 1935
3,[Cats with cauldron],"Photo, Print, Drawing",https://www.loc.gov/item/2018696753/,"Lomax, Alan",: 1901
3,[Dressing up the cat],"Photo, Print, Drawing",https://www.loc.gov/item/2010717875/,"Shepherd, Jessie",: 1888
3,The diseases of the cat,Book/Printed Material,https://www.loc.gov/search/?fa=segmentof:gdcmassbookdig.diseasesofcat00hill/&q=cats&st=gallery,"Hill, John Woodroffe",: 1901
3,Roger Benfield Cates Collection,personal narrative,https://www.loc.gov/resource/afc2001001.76358.mv0001001/,"National Veterans History Archival Institute (Nvhai) - Cates, Roger Benfield - Milidonis, Dave",: 1966
3,Raymond Louis Cates Collection,personal narrative,https://www.loc.gov/resource/afc2001001.86139.mv0001001/,"Leblanc, William - Cates, Raymond Louis - Boy Scouts of America",: 1961
3,Elwyn R. Cates Collection,personal narrative,https://www.loc.gov/resource/afc2001001.32689.mv0001001/,"Lewis, Robert - Cates, Elwyn R. - Tyler Junior College - Rucker, Bobbye",: 1943
3,Elliott Cates Collection,personal narrative,https://www.loc.gov/resource/afc2001001.90553.sr0001001/,"Banit, Thomas - Lautenberg, Frank - U.S. Senate/Frank Lautenberg - Cates, Elliott",: 1952
3,Two little fraid cats,"Photo, Print, Drawing",https://www.loc.gov/item/2003662899/,"Kelly, Thomas - Kelly, Thomas, Active",: 1874
3,"Cat, window, Amsterdam, 1975","Photo, Print, Drawing",https://www.loc.gov/item/2020703750/,"Vergara, Camilo J.",: 1975
3,"Gaston cat, portrait photograph","Photo, Print, Drawing",https://www.loc.gov/item/2018714030/,"Genthe, Arnold",: 1933
3,[Domestic cat nursing kittens],"Photo, Print, Drawing",https://www.loc.gov/item/2008660988/,"Tachibana, Morikuni",: 1720
